post_strat_coded,strata_coded,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out_v1,strata_out_v2,svk_forests,plot_id
333,303,2019,300,300,300,331,333,3,140738433
333,303,2016,300,300,300,331,333,3,140738434
333,303,2017,300,300,300,331,333,3,140738435
333,303,2019,300,300,300,331,333,3,140738436
333,303,2015,300,300,300,331,333,3,140738437
333,303,2018,300,300,300,331,333,3,140738438
333,303,2015,300,300,300,331,333,3,140738439
333,303,2015,300,300,300,331,333,3,140738440
333,303,2016,300,300,300,331,333,3,140738441
333,303,2018,300,300,300,331,333,3,140738442
333,303,2019,300,300,300,331,333,3,140738443
333,303,2019,300,300,300,331,333,3,140738444
333,303,2015,300,300,300,331,333,3,140738445
333,303,2017,300,300,300,331,333,3,140738446
333,303,2019,300,300,300,331,333,3,140738447
311,300,0,311,300,300,311,311,3,139342225
311,300,0,311,300,300,311,311,3,139342226
311,300,0,311,300,300,311,311,3,139342227
311,300,0,311,300,300,311,311,3,139342228
311,300,0,311,300,300,311,311,3,139342229
311,300,0,311,300,300,311,311,3,139342230
311,300,0,311,300,300,311,311,3,139342231
311,300,0,311,300,300,311,311,3,139342232
311,300,0,311,300,300,311,311,3,139342233
311,300,0,311,300,300,311,311,3,139342234
321,300,0,300,313,300,321,321,3,139342235
321,300,0,300,313,300,321,321,3,139342236
321,300,0,300,313,300,321,321,3,139342237
321,300,0,300,313,300,321,321,3,139342238
321,300,0,300,313,300,321,321,3,139342239
321,300,0,300,313,300,321,321,3,139342240
321,300,0,300,313,300,321,321,3,139342241
321,300,0,300,313,300,321,321,3,139342242
321,300,0,300,313,300,321,321,3,139342243
321,300,0,300,313,300,321,321,3,139342244
331,304,2018,300,300,300,331,331,3,139342245
331,304,2017,300,300,300,331,331,3,139342246
331,304,2019,300,300,300,331,331,3,139342247
331,304,2019,300,300,300,331,331,3,139342248
331,304,2019,300,300,300,331,331,3,139342249
331,304,2018,300,300,300,331,331,3,139342250
331,304,2017,300,300,300,331,331,3,139342251
331,304,2019,300,300,300,331,331,3,139342252
333,303,2016,300,300,300,331,333,3,139342253
331,304,2017,300,300,300,331,331,3,139342254
344,304,2019,311,300,300,341,341,3,139342255
344,304,2017,311,300,300,341,341,3,139342256
344,304,2017,311,300,300,341,341,3,139342257
344,304,2017,311,300,300,341,341,3,139342258
344,304,2017,311,300,300,341,341,3,139342259
344,304,2018,311,300,300,341,341,3,139342260
344,304,2019,311,300,300,341,341,3,139342261
344,304,2018,311,300,300,341,341,3,139342262
344,304,2016,311,300,300,341,341,3,139342263
344,304,2016,311,300,300,341,341,3,139342264
344,304,2017,311,300,300,341,341,3,139342265
344,304,2018,311,300,300,341,341,3,139342266
344,304,2016,311,300,300,341,341,3,139342267
344,304,2019,311,300,300,341,341,3,139342268
344,304,2019,311,300,300,341,341,3,139342269
344,304,2018,311,300,300,341,341,3,139342270
344,304,2019,311,300,300,341,341,3,139342271
344,304,2019,311,300,300,341,341,3,139342272
344,304,2016,311,300,300,341,341,3,139342273
344,304,2019,311,300,300,341,341,3,139342274
111,100,0,111,100,100,111,111,1,139378022
111,100,0,111,100,100,111,111,1,139378023
111,100,0,111,100,100,111,111,1,139378024
111,100,0,111,100,100,111,111,1,139378025
111,100,0,111,100,100,111,111,1,139378026
111,100,0,111,100,100,111,111,1,139378027
111,100,0,111,100,100,111,111,1,139378028
111,100,0,111,100,100,111,111,1,139378029
111,100,0,111,100,100,111,111,1,139378030
111,100,0,111,100,100,111,111,1,139378031
121,100,0,100,122,100,121,121,1,139378032
121,100,0,100,122,100,121,121,1,139378033
121,100,0,100,122,100,121,121,1,139378034
121,100,0,100,122,100,121,121,1,139378035
121,100,0,100,122,100,121,121,1,139378036
121,100,0,100,122,100,121,121,1,139378037
121,100,0,100,122,100,121,121,1,139378038
121,100,0,100,122,100,121,121,1,139378039
121,100,0,100,122,100,121,121,1,139378040
121,100,0,100,112,100,121,121,1,139378041
131,104,2015,100,100,100,131,131,1,139378042
131,104,2018,100,100,100,131,131,1,139378043
131,104,2018,100,100,100,131,131,1,139378044
131,104,2017,100,100,100,131,131,1,139378045
131,104,2018,100,100,100,131,131,1,139378046
131,104,2018,100,100,100,131,131,1,139378047
133,103,2016,100,100,100,131,133,1,139378048
131,104,2017,100,100,100,131,131,1,139378049
131,104,2016,100,100,100,131,131,1,139378050
131,104,2015,100,100,100,131,131,1,139378051
144,104,2018,111,100,100,141,141,1,139378052
144,104,2016,111,100,100,141,141,1,139378053
144,104,2016,111,100,100,141,141,1,139378054
143,103,2015,111,100,100,141,141,1,139378055
144,104,2018,111,100,100,141,141,1,139378056
144,104,2016,111,100,100,141,141,1,139378057
144,104,2015,111,100,100,141,141,1,139378058
144,104,2018,111,100,100,141,141,1,139378059
144,104,2016,111,100,100,141,141,1,139378060
143,103,2015,111,100,100,141,141,1,139378061
133,103,2015,100,100,100,131,133,1,140738328
133,103,2016,100,100,100,131,133,1,140738329
133,103,2015,100,100,100,131,133,1,140738330
133,103,2015,100,100,100,131,133,1,140738331
133,103,2016,100,100,100,131,133,1,140738332
133,103,2017,100,100,100,131,133,1,140738333
133,103,2017,100,100,100,131,133,1,140738334
133,103,2015,100,100,100,131,133,1,140738335
133,103,2016,100,100,100,131,133,1,140738336
133,103,2018,100,100,100,131,133,1,140738337
133,103,2015,100,100,100,131,133,1,140738338
133,103,2017,100,100,100,131,133,1,140738339
133,103,2016,100,100,100,131,133,1,140738340
133,103,2016,100,100,100,131,133,1,140738341
133,103,2016,100,100,100,131,133,1,140738342
133,103,2017,100,100,100,131,133,1,140738343
133,103,2016,100,100,100,131,133,1,140738344
133,103,2016,100,100,100,131,133,1,140738345
133,103,2017,100,100,100,131,133,1,140738346
133,103,2015,100,100,100,131,133,1,140738347
133,103,2015,100,100,100,131,133,1,140738348
133,103,2015,100,100,100,131,133,1,140738349
133,103,2017,100,100,100,131,133,1,140738350
133,103,2016,100,100,100,131,133,1,140738351
133,103,2017,100,100,100,131,133,1,140738352
133,103,2016,100,100,100,131,133,1,140738353
133,103,2016,100,100,100,131,133,1,140738354
133,103,2016,100,100,100,131,133,1,140738355
133,103,2016,100,100,100,131,133,1,140738356
133,103,2015,100,100,100,131,133,1,140738357
233,203,2015,200,200,200,231,233,2,140738358
233,203,2016,200,200,200,231,233,2,140738359
233,203,2016,200,200,200,231,233,2,140738360
233,203,2016,200,200,200,231,233,2,140738361
233,203,2017,200,200,200,231,233,2,140738362
233,203,2018,200,200,200,231,233,2,140738363
233,203,2015,200,200,200,231,233,2,140738364
233,203,2015,200,200,200,231,233,2,140738365
233,203,2015,200,200,200,231,233,2,140738366
233,203,2019,200,200,200,231,233,2,140738367
233,203,2018,200,200,200,231,233,2,140738368
233,203,2017,200,200,200,231,233,2,140738369
233,203,2017,200,200,200,231,233,2,140738370
233,203,2015,200,200,200,231,233,2,140738371
233,203,2016,200,200,200,231,233,2,140738372
233,203,2015,200,200,200,231,233,2,140738373
233,203,2016,200,200,200,231,233,2,140738374
233,203,2015,200,200,200,231,233,2,140738375
233,203,2015,200,200,200,231,233,2,140738376
233,203,2017,200,200,200,231,233,2,140738377
233,203,2017,200,200,200,231,233,2,140738378
233,203,2016,200,200,200,231,233,2,140738379
233,203,2019,200,200,200,231,233,2,140738380
233,203,2015,200,200,200,231,233,2,140738381
233,203,2015,200,200,200,231,233,2,140738382
233,203,2016,200,200,200,231,233,2,140738383
233,203,2015,200,200,200,231,233,2,140738384
233,203,2017,200,200,200,231,233,2,140738385
233,203,2016,200,200,200,231,233,2,140738386
233,203,2018,200,200,200,231,233,2,140738387
251,200,0,211,200,200,251,251,2,140738388
251,200,0,211,200,200,251,251,2,140738389
251,200,0,211,200,200,251,251,2,140738390
251,200,0,211,200,200,251,251,2,140738391
251,200,0,211,200,200,251,251,2,140738392
251,200,0,211,200,200,251,251,2,140738393
251,200,0,211,200,200,251,251,2,140738394
254,204,2019,200,200,200,251,251,2,140738395
251,200,0,211,200,200,251,251,2,140738396
251,200,0,211,200,200,251,251,2,140738397
251,200,0,211,200,200,251,251,2,140738398
251,200,0,211,200,200,251,251,2,140738399
251,200,0,211,200,200,251,251,2,140738400
251,200,0,211,200,200,251,251,2,140738401
251,200,0,211,200,200,251,251,2,140738402
251,200,0,211,200,200,251,251,2,140738403
251,200,0,211,200,200,251,251,2,140738404
251,200,0,211,200,200,251,251,2,140738405
254,204,2018,200,200,200,251,251,2,140738406
251,200,0,211,200,200,251,251,2,140738407
251,200,0,211,200,200,251,251,2,140738408
251,200,0,211,200,200,251,251,2,140738409
251,200,0,211,200,200,251,251,2,140738410
251,200,0,211,200,200,251,251,2,140738411
251,200,0,211,200,200,251,251,2,140738412
251,200,0,211,200,200,251,251,2,140738413
251,200,0,211,200,200,251,251,2,140738414
251,200,2017,211,200,200,251,251,2,140738415
251,200,0,211,200,200,251,251,2,140738416
251,200,0,211,200,200,251,251,2,140738417
333,303,2017,300,300,300,331,333,3,140738418
333,303,2017,300,300,300,331,333,3,140738419
333,303,2019,300,300,300,331,333,3,140738420
333,303,2015,300,300,300,331,333,3,140738421
333,303,2019,300,300,300,331,333,3,140738422
333,303,2019,300,300,300,331,333,3,140738423
333,303,2016,300,300,300,331,333,3,140738424
333,303,2019,300,300,300,331,333,3,140738425
333,303,2019,300,300,300,331,333,3,140738426
333,303,2019,300,300,300,331,333,3,140738427
333,303,2015,300,300,300,331,333,3,140738428
333,303,2015,300,300,300,331,333,3,140738429
333,303,2019,300,300,300,331,333,3,140738430
333,303,2017,300,300,300,331,333,3,140738431
333,303,2017,300,300,300,331,333,3,140738432
144,104,2015,111,100,100,141,141,1,139378062
144,104,2019,111,100,100,141,141,1,139378063
144,104,2017,111,100,100,141,141,1,139378064
144,104,2016,111,100,100,141,141,1,139378065
143,103,2017,111,100,100,141,141,1,139378066
143,103,2017,111,100,100,141,141,1,139378067
144,104,2019,111,100,100,141,141,1,139378068
143,103,2018,111,100,100,141,141,1,139378069
144,104,2017,111,100,100,141,141,1,139378070
143,103,2015,111,100,100,141,141,1,139378071
211,200,0,211,200,200,211,211,2,139377972
211,200,0,211,200,200,211,211,2,139377973
211,200,0,211,200,200,211,211,2,139377974
211,200,0,211,200,200,211,211,2,139377975
211,200,0,211,200,200,211,211,2,139377976
211,200,0,211,200,200,211,211,2,139377977
211,200,0,211,200,200,211,211,2,139377978
211,200,0,211,200,200,211,211,2,139377979
211,200,0,211,200,200,211,211,2,139377980
211,200,0,211,200,200,211,211,2,139377981
221,200,0,200,222,200,221,221,2,139377982
221,200,0,200,222,200,221,221,2,139377983
221,200,0,200,222,200,221,221,2,139377984
221,200,0,200,222,200,221,221,2,139377985
221,200,0,200,212,200,221,221,2,139377986
221,200,0,200,222,200,221,221,2,139377987
221,200,0,200,222,200,221,221,2,139377988
221,200,0,200,222,200,221,221,2,139377989
221,200,0,200,222,200,221,221,2,139377990
221,200,0,200,222,200,221,221,2,139377991
231,204,2017,200,200,200,231,231,2,139377992
231,204,2018,200,200,200,231,231,2,139377993
231,204,2018,200,200,200,231,231,2,139377994
231,204,2019,200,200,200,231,231,2,139377995
231,204,2019,200,200,200,231,231,2,139377996
231,204,2017,200,200,200,231,231,2,139377997
231,204,2017,200,200,200,231,231,2,139377998
231,204,2019,200,200,200,231,231,2,139377999
231,204,2018,200,200,200,231,231,2,139378000
231,204,2019,200,200,200,231,231,2,139378001
244,204,2018,211,200,200,241,241,2,139378002
244,204,2019,211,200,200,241,241,2,139378003
244,204,2019,211,200,200,241,241,2,139378004
244,204,2019,211,200,200,241,241,2,139378005
244,204,2019,211,200,200,241,241,2,139378006
244,204,2019,211,200,200,241,241,2,139378007
244,204,2018,211,200,200,241,241,2,139378008
243,203,2018,211,200,200,241,241,2,139378009
244,204,2017,211,200,200,241,241,2,139378010
244,204,2017,211,200,200,241,241,2,139378011
244,204,2018,211,200,200,241,241,2,139378012
244,204,2018,211,200,200,241,241,2,139378013
244,204,2018,211,200,200,241,241,2,139378014
244,204,2017,211,200,200,241,241,2,139378015
243,203,2015,211,200,200,241,241,2,139378016
244,204,2019,211,200,200,241,241,2,139378017
244,204,2018,211,200,200,241,241,2,139378018
244,204,2015,211,200,200,241,241,2,139378019
244,204,2018,211,200,200,241,241,2,139378020
244,204,2015,211,200,200,241,241,2,139378021
300,300,0,300,300,300,300,300,3,139430105
300,300,0,300,300,300,300,300,3,139430106
300,300,0,300,300,300,300,300,3,139430107
300,300,0,300,300,300,300,300,3,139430108
300,300,0,300,300,300,300,300,3,139430109
300,300,0,300,300,300,300,300,3,139430110
300,300,0,300,300,300,300,300,3,139430111
300,300,0,300,300,300,300,300,3,139430112
300,300,0,300,300,300,300,300,3,139430113
300,300,0,300,300,300,300,300,3,139430114
300,300,0,300,300,300,300,300,3,139430115
300,300,0,300,300,300,300,300,3,139430116
300,300,0,300,300,300,300,300,3,139430117
300,300,0,300,300,300,300,300,3,139430118
300,300,2019,300,300,300,300,300,3,139430119
200,200,0,200,200,200,200,200,2,139430120
200,200,0,200,200,200,200,200,2,139430121
200,200,0,200,200,200,200,200,2,139430122
200,200,0,200,200,200,200,200,2,139430123
200,200,0,200,200,200,200,200,2,139430124
200,200,0,200,200,200,200,200,2,139430125
200,200,0,200,200,200,200,200,2,139430126
200,200,0,200,200,200,200,200,2,139430127
200,200,0,200,200,200,200,200,2,139430128
200,200,0,200,200,200,200,200,2,139430129
200,200,0,200,200,200,200,200,2,139430130
200,200,0,200,200,200,200,200,2,139430131
200,200,0,200,200,200,200,200,2,139430132
200,200,0,200,200,200,200,200,2,139430133
200,200,0,200,200,200,200,200,2,139430134
100,100,0,100,100,100,100,100,1,139430135
100,100,0,100,100,100,100,100,1,139430136
100,100,0,100,100,100,100,100,1,139430137
100,100,0,100,100,100,100,100,1,139430138
100,100,0,100,100,100,100,100,1,139430139
100,100,0,100,100,100,100,100,1,139430140
100,100,0,100,100,100,100,100,1,139430141
100,100,0,100,100,100,100,100,1,139430142
100,100,0,100,100,100,100,100,1,139430143
100,100,0,100,100,100,100,100,1,139430144
100,100,0,100,100,100,100,100,1,139430145
100,100,0,100,100,100,100,100,1,139430146
100,100,0,100,100,100,100,100,1,139430147
100,100,0,100,100,100,100,100,1,139430148
100,100,0,100,100,100,100,100,1,139430149
