post_strat_coded,strata_coded,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out_v1,strata_out_v2,svk_forests,GIS,CEO,,MISSING CEO PLOTS,CEO LON,CEO LAT
311,300,0,311,300,300,311,311,3,139342225,139342225,TRUE,,,
311,300,0,311,300,300,311,311,3,139342226,,FALSE,,,
311,300,0,311,300,300,311,311,3,139342227,139342227,TRUE,,,
311,300,0,311,300,300,311,311,3,139342228,139342228,TRUE,,,
311,300,0,311,300,300,311,311,3,139342229,139342229,TRUE,,,
311,300,0,311,300,300,311,311,3,139342230,139342230,TRUE,,,
311,300,0,311,300,300,311,311,3,139342231,139342231,TRUE,,,
311,300,0,311,300,300,311,311,3,139342232,139342232,TRUE,,,
311,300,0,311,300,300,311,311,3,139342233,139342233,TRUE,,,
311,300,0,311,300,300,311,311,3,139342234,139342234,TRUE,,,
321,300,0,300,313,300,321,321,3,139342235,139342235,TRUE,,,
321,300,0,300,313,300,321,321,3,139342236,139342236,TRUE,,,
321,300,0,300,313,300,321,321,3,139342237,139342237,TRUE,,,
321,300,0,300,313,300,321,321,3,139342238,139342238,TRUE,,,
321,300,0,300,313,300,321,321,3,139342239,139342239,TRUE,,,
321,300,0,300,313,300,321,321,3,139342240,139342240,TRUE,,,
321,300,0,300,313,300,321,321,3,139342241,139342241,TRUE,,,
321,300,0,300,313,300,321,321,3,139342242,139342242,TRUE,,,
321,300,0,300,313,300,321,321,3,139342243,139342243,TRUE,,,
321,300,0,300,313,300,321,321,3,139342244,139342244,TRUE,,,
331,304,2018,300,300,300,331,331,3,139342245,139342245,TRUE,,,
331,304,2017,300,300,300,331,331,3,139342246,139342246,TRUE,,,
331,304,2019,300,300,300,331,331,3,139342247,139342247,TRUE,,,
331,304,2019,300,300,300,331,331,3,139342248,139342248,TRUE,,,
331,304,2019,300,300,300,331,331,3,139342249,139342249,TRUE,,,
331,304,2018,300,300,300,331,331,3,139342250,139342250,TRUE,,,
331,304,2017,300,300,300,331,331,3,139342251,139342251,TRUE,,,
331,304,2019,300,300,300,331,331,3,139342252,139342252,TRUE,,,
333,303,2016,300,300,300,331,333,3,139342253,139342253,TRUE,,,
331,304,2017,300,300,300,331,331,3,139342254,139342254,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342255,139342255,TRUE,,,
344,304,2017,311,300,300,341,341,3,139342256,139342256,TRUE,,,
344,304,2017,311,300,300,341,341,3,139342257,139342257,TRUE,,,
344,304,2017,311,300,300,341,341,3,139342258,139342258,TRUE,,,
344,304,2017,311,300,300,341,341,3,139342259,139342259,TRUE,,,
344,304,2018,311,300,300,341,341,3,139342260,139342260,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342261,139342261,TRUE,,,
344,304,2018,311,300,300,341,341,3,139342262,139342262,TRUE,,,
344,304,2016,311,300,300,341,341,3,139342263,139342263,TRUE,,,
344,304,2016,311,300,300,341,341,3,139342264,139342264,TRUE,,,
344,304,2017,311,300,300,341,341,3,139342265,139342265,TRUE,,,
344,304,2018,311,300,300,341,341,3,139342266,139342266,TRUE,,,
344,304,2016,311,300,300,341,341,3,139342267,139342267,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342268,139342268,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342269,139342269,TRUE,,,
344,304,2018,311,300,300,341,341,3,139342270,139342270,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342271,139342271,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342272,139342272,TRUE,,,
344,304,2016,311,300,300,341,341,3,139342273,139342273,TRUE,,,
344,304,2019,311,300,300,341,341,3,139342274,139342274,TRUE,,,
211,200,0,211,200,200,211,211,2,139377972,139377972,TRUE,,,
211,200,0,211,200,200,211,211,2,139377973,139377973,TRUE,,,
211,200,0,211,200,200,211,211,2,139377974,139377974,TRUE,,,
211,200,0,211,200,200,211,211,2,139377975,139377975,TRUE,,,
211,200,0,211,200,200,211,211,2,139377976,139377976,TRUE,,,
211,200,0,211,200,200,211,211,2,139377977,139377977,TRUE,,,
211,200,0,211,200,200,211,211,2,139377978,139377978,TRUE,,,
211,200,0,211,200,200,211,211,2,139377979,139377979,TRUE,,,
211,200,0,211,200,200,211,211,2,139377980,139377980,TRUE,,,
211,200,0,211,200,200,211,211,2,139377981,139377981,TRUE,,,
221,200,0,200,222,200,221,221,2,139377982,139377982,TRUE,,,
221,200,0,200,222,200,221,221,2,139377983,139377983,TRUE,,,
221,200,0,200,222,200,221,221,2,139377984,139377984,TRUE,,,
221,200,0,200,222,200,221,221,2,139377985,139377985,TRUE,,,
221,200,0,200,212,200,221,221,2,139377986,139377986,TRUE,,,
221,200,0,200,222,200,221,221,2,139377987,139377987,TRUE,,,
221,200,0,200,222,200,221,221,2,139377988,139377988,TRUE,,,
221,200,0,200,222,200,221,221,2,139377989,139377989,TRUE,,,
221,200,0,200,222,200,221,221,2,139377990,139377990,TRUE,,,
221,200,0,200,222,200,221,221,2,139377991,139377991,TRUE,,,
231,204,2017,200,200,200,231,231,2,139377992,139377992,TRUE,,,
231,204,2018,200,200,200,231,231,2,139377993,139377993,TRUE,,,
231,204,2018,200,200,200,231,231,2,139377994,139377994,TRUE,,,
231,204,2019,200,200,200,231,231,2,139377995,139377995,TRUE,,,
231,204,2019,200,200,200,231,231,2,139377996,139377996,TRUE,,,
231,204,2017,200,200,200,231,231,2,139377997,139377997,TRUE,,,
231,204,2017,200,200,200,231,231,2,139377998,139377998,TRUE,,,
231,204,2019,200,200,200,231,231,2,139377999,139377999,TRUE,,,
231,204,2018,200,200,200,231,231,2,139378000,139378000,TRUE,,,
231,204,2019,200,200,200,231,231,2,139378001,139378001,TRUE,,,
244,204,2018,211,200,200,241,241,2,139378002,139378002,TRUE,,,
244,204,2019,211,200,200,241,241,2,139378003,139378003,TRUE,,,
244,204,2019,211,200,200,241,241,2,139378004,139378004,TRUE,,,
244,204,2019,211,200,200,241,241,2,139378005,139378005,TRUE,,,
244,204,2019,211,200,200,241,241,2,139378006,139378006,TRUE,,,
244,204,2019,211,200,200,241,241,2,139378007,139378007,TRUE,,,
244,204,2018,211,200,200,241,241,2,139378008,139378008,TRUE,,,
243,203,2018,211,200,200,241,241,2,139378009,139378009,TRUE,,,
244,204,2017,211,200,200,241,241,2,139378010,139378010,TRUE,,,
244,204,2017,211,200,200,241,241,2,139378011,139378011,TRUE,,,
244,204,2018,211,200,200,241,241,2,139378012,139378012,TRUE,,,
244,204,2018,211,200,200,241,241,2,139378013,139378013,TRUE,,,
244,204,2018,211,200,200,241,241,2,139378014,139378014,TRUE,,,
244,204,2017,211,200,200,241,241,2,139378015,139378015,TRUE,,,
243,203,2015,211,200,200,241,241,2,139378016,139378016,TRUE,,,
244,204,2019,211,200,200,241,241,2,139378017,139378017,TRUE,,,
244,204,2018,211,200,200,241,241,2,139378018,139378018,TRUE,,,
244,204,2015,211,200,200,241,241,2,139378019,139378019,TRUE,,,
244,204,2018,211,200,200,241,241,2,139378020,139378020,TRUE,,,
244,204,2015,211,200,200,241,241,2,139378021,139378021,TRUE,,,
111,100,0,111,100,100,111,111,1,139378022,139378022,TRUE,,,
111,100,0,111,100,100,111,111,1,139378023,139378023,TRUE,,,
111,100,0,111,100,100,111,111,1,139378024,139378024,TRUE,,,
111,100,0,111,100,100,111,111,1,139378025,139378025,TRUE,,,
111,100,0,111,100,100,111,111,1,139378026,139378026,TRUE,,,
111,100,0,111,100,100,111,111,1,139378027,139378027,TRUE,,,
111,100,0,111,100,100,111,111,1,139378028,139378028,TRUE,,,
111,100,0,111,100,100,111,111,1,139378029,139378029,TRUE,,,
111,100,0,111,100,100,111,111,1,139378030,139378030,TRUE,,,
111,100,0,111,100,100,111,111,1,139378031,139378031,TRUE,,,
121,100,0,100,122,100,121,121,1,139378032,139378032,TRUE,,,
121,100,0,100,122,100,121,121,1,139378033,139378033,TRUE,,,
121,100,0,100,122,100,121,121,1,139378034,139378034,TRUE,,,
121,100,0,100,122,100,121,121,1,139378035,139378035,TRUE,,,
121,100,0,100,122,100,121,121,1,139378036,139378036,TRUE,,,
121,100,0,100,122,100,121,121,1,139378037,139378037,TRUE,,,
121,100,0,100,122,100,121,121,1,139378038,139378038,TRUE,,,
121,100,0,100,122,100,121,121,1,139378039,139378039,TRUE,,,
121,100,0,100,122,100,121,121,1,139378040,139378040,TRUE,,,
121,100,0,100,112,100,121,121,1,139378041,139378041,TRUE,,,
131,104,2015,100,100,100,131,131,1,139378042,139378042,TRUE,,,
131,104,2018,100,100,100,131,131,1,139378043,139378043,TRUE,,,
131,104,2018,100,100,100,131,131,1,139378044,139378044,TRUE,,,
131,104,2017,100,100,100,131,131,1,139378045,139378045,TRUE,,,
131,104,2018,100,100,100,131,131,1,139378046,139378046,TRUE,,,
131,104,2018,100,100,100,131,131,1,139378047,139378047,TRUE,,,
133,103,2016,100,100,100,131,133,1,139378048,139378048,TRUE,,,
131,104,2017,100,100,100,131,131,1,139378049,139378049,TRUE,,,
131,104,2016,100,100,100,131,131,1,139378050,139378050,TRUE,,,
131,104,2015,100,100,100,131,131,1,139378051,139378051,TRUE,,,
144,104,2018,111,100,100,141,141,1,139378052,139378052,TRUE,,,
144,104,2016,111,100,100,141,141,1,139378053,139378053,TRUE,,,
144,104,2016,111,100,100,141,141,1,139378054,139378054,TRUE,,,
143,103,2015,111,100,100,141,141,1,139378055,139378055,TRUE,,,
144,104,2018,111,100,100,141,141,1,139378056,139378056,TRUE,,,
144,104,2016,111,100,100,141,141,1,139378057,139378057,TRUE,,,
144,104,2015,111,100,100,141,141,1,139378058,139378058,TRUE,,,
144,104,2018,111,100,100,141,141,1,139378059,139378059,TRUE,,,
144,104,2016,111,100,100,141,141,1,139378060,139378060,TRUE,,,
143,103,2015,111,100,100,141,141,1,139378061,139378061,TRUE,,,
144,104,2015,111,100,100,141,141,1,139378062,139378062,TRUE,,,
144,104,2019,111,100,100,141,141,1,139378063,139378063,TRUE,,,
144,104,2017,111,100,100,141,141,1,139378064,139378064,TRUE,,,
144,104,2016,111,100,100,141,141,1,139378065,139378065,TRUE,,,
143,103,2017,111,100,100,141,141,1,139378066,139378066,TRUE,,,
143,103,2017,111,100,100,141,141,1,139378067,139378067,TRUE,,,
144,104,2019,111,100,100,141,141,1,139378068,139378068,TRUE,,,
143,103,2018,111,100,100,141,141,1,139378069,139378069,TRUE,,,
144,104,2017,111,100,100,141,141,1,139378070,139378070,TRUE,,,
143,103,2015,111,100,100,141,141,1,139378071,139378071,TRUE,,,
300,300,0,300,300,300,300,300,3,139430105,139430105,TRUE,,,
300,300,0,300,300,300,300,300,3,139430106,139430106,TRUE,,,
300,300,0,300,300,300,300,300,3,139430107,139430107,TRUE,,,
300,300,0,300,300,300,300,300,3,139430108,139430108,TRUE,,,
300,300,0,300,300,300,300,300,3,139430109,139430109,TRUE,,,
300,300,0,300,300,300,300,300,3,139430110,139430110,TRUE,,,
300,300,0,300,300,300,300,300,3,139430111,139430111,TRUE,,,
300,300,0,300,300,300,300,300,3,139430112,139430112,TRUE,,,
300,300,0,300,300,300,300,300,3,139430113,139430113,TRUE,,,
300,300,0,300,300,300,300,300,3,139430114,139430114,TRUE,,,
300,300,0,300,300,300,300,300,3,139430115,139430115,TRUE,,,
300,300,0,300,300,300,300,300,3,139430116,139430116,TRUE,,,
300,300,0,300,300,300,300,300,3,139430117,139430117,TRUE,,,
300,300,0,300,300,300,300,300,3,139430118,139430118,TRUE,,,
300,300,2019,300,300,300,300,300,3,139430119,139430119,TRUE,,,
200,200,0,200,200,200,200,200,2,139430120,139430120,TRUE,,,
200,200,0,200,200,200,200,200,2,139430121,139430121,TRUE,,,
200,200,0,200,200,200,200,200,2,139430122,139430122,TRUE,,,
200,200,0,200,200,200,200,200,2,139430123,139430123,TRUE,,,
200,200,0,200,200,200,200,200,2,139430124,139430124,TRUE,,,
200,200,0,200,200,200,200,200,2,139430125,139430125,TRUE,,,
200,200,0,200,200,200,200,200,2,139430126,139430126,TRUE,,,
200,200,0,200,200,200,200,200,2,139430127,139430127,TRUE,,,
200,200,0,200,200,200,200,200,2,139430128,139430128,TRUE,,,
200,200,0,200,200,200,200,200,2,139430129,139430129,TRUE,,,
200,200,0,200,200,200,200,200,2,139430130,139430130,TRUE,,,
200,200,0,200,200,200,200,200,2,139430131,139430131,TRUE,,,
200,200,0,200,200,200,200,200,2,139430132,139430132,TRUE,,,
200,200,0,200,200,200,200,200,2,139430133,139430133,TRUE,,,
200,200,0,200,200,200,200,200,2,139430134,139430134,TRUE,,,
100,100,0,100,100,100,100,100,1,139430135,139430135,TRUE,,,
100,100,0,100,100,100,100,100,1,139430136,139430136,TRUE,,,
100,100,0,100,100,100,100,100,1,139430137,139430137,TRUE,,,
100,100,0,100,100,100,100,100,1,139430138,139430138,TRUE,,,
100,100,0,100,100,100,100,100,1,139430139,139430139,TRUE,,,
100,100,0,100,100,100,100,100,1,139430140,139430140,TRUE,,,
100,100,0,100,100,100,100,100,1,139430141,139430141,TRUE,,,
100,100,0,100,100,100,100,100,1,139430142,139430142,TRUE,,,
100,100,0,100,100,100,100,100,1,139430143,139430143,TRUE,,,
100,100,0,100,100,100,100,100,1,139430144,139430144,TRUE,,,
100,100,0,100,100,100,100,100,1,139430145,139430145,TRUE,,,
100,100,0,100,100,100,100,100,1,139430146,139430146,TRUE,,,
100,100,0,100,100,100,100,100,1,139430147,139430147,TRUE,,,
100,100,0,100,100,100,100,100,1,139430148,139430148,TRUE,,,
100,100,0,100,100,100,100,100,1,139430149,139430149,TRUE,,,
133,103,2015,100,100,100,131,133,1,140738328,140738328,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738329,140738329,TRUE,,,
133,103,2015,100,100,100,131,133,1,140738330,140738330,TRUE,,,
133,103,2015,100,100,100,131,133,1,140738331,140738331,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738332,140738332,TRUE,,,
133,103,2017,100,100,100,131,133,1,140738333,140738333,TRUE,,,
133,103,2017,100,100,100,131,133,1,140738334,140738334,TRUE,,,
133,103,2015,100,100,100,131,133,1,140738335,140738335,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738336,140738336,TRUE,,,
133,103,2018,100,100,100,131,133,1,140738337,140738337,TRUE,,,
133,103,2015,100,100,100,131,133,1,140738338,140738338,TRUE,,,
133,103,2017,100,100,100,131,133,1,140738339,140738339,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738340,140738340,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738341,140738341,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738342,140738342,TRUE,,,
133,103,2017,100,100,100,131,133,1,140738343,140738343,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738344,140738344,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738345,140738345,TRUE,,,
133,103,2017,100,100,100,131,133,1,140738346,140738346,TRUE,,,
133,103,2015,100,100,100,131,133,1,140738347,140738347,TRUE,,,
133,103,2015,100,100,100,131,133,1,140738348,140738348,TRUE,,,
133,103,2015,100,100,100,131,133,1,140738349,140738349,TRUE,,,
133,103,2017,100,100,100,131,133,1,140738350,140738350,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738351,140738351,TRUE,,,
133,103,2017,100,100,100,131,133,1,140738352,140738352,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738353,140738353,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738354,140738354,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738355,140738355,TRUE,,,
133,103,2016,100,100,100,131,133,1,140738356,140738356,TRUE,,,
133,103,2015,100,100,100,131,133,1,140738357,140738357,TRUE,,,
233,203,2015,200,200,200,231,233,2,140738358,140738368,FALSE,,,
233,203,2016,200,200,200,231,233,2,140738359,,FALSE,140742371,106.6346,16.54764
233,203,2016,200,200,200,231,233,2,140738360,,FALSE,140742372,106.3149,16.75866
233,203,2016,200,200,200,231,233,2,140738361,,FALSE,140742373,106.5273,16.73359
233,203,2017,200,200,200,231,233,2,140738362,,FALSE,140742374,106.1015,16.62391
233,203,2018,200,200,200,231,233,2,140738363,,FALSE,140742375,105.9527,16.6832
233,203,2015,200,200,200,231,233,2,140738364,,FALSE,140742376,105.3189,16.55923
233,203,2015,200,200,200,231,233,2,140738365,,FALSE,140742377,106.5472,16.43041
233,203,2015,200,200,200,231,233,2,140738366,,FALSE,140742378,106.54,16.24284
233,203,2019,200,200,200,231,233,2,140738367,,FALSE,140742379,106.5392,16.30429
233,203,2018,200,200,200,231,233,2,140738368,,FALSE,140742380,105.2003,16.30213
233,203,2017,200,200,200,231,233,2,140738369,140738369,TRUE,,,
233,203,2017,200,200,200,231,233,2,140738370,140738370,TRUE,,,
233,203,2015,200,200,200,231,233,2,140738371,140738371,TRUE,,,
233,203,2016,200,200,200,231,233,2,140738372,140738372,TRUE,,,
233,203,2015,200,200,200,231,233,2,140738373,140738373,TRUE,,,
233,203,2016,200,200,200,231,233,2,140738374,140738374,TRUE,,,
233,203,2015,200,200,200,231,233,2,140738375,140738375,TRUE,,,
233,203,2015,200,200,200,231,233,2,140738376,140738376,TRUE,,,
233,203,2017,200,200,200,231,233,2,140738377,140738377,TRUE,,,
233,203,2017,200,200,200,231,233,2,140738378,140738378,TRUE,,,
233,203,2016,200,200,200,231,233,2,140738379,140738379,TRUE,,,
233,203,2019,200,200,200,231,233,2,140738380,140738380,TRUE,,,
233,203,2015,200,200,200,231,233,2,140738381,140738381,TRUE,,,
233,203,2015,200,200,200,231,233,2,140738382,140738382,TRUE,,,
233,203,2016,200,200,200,231,233,2,140738383,140738383,TRUE,,,
233,203,2015,200,200,200,231,233,2,140738384,140738384,TRUE,,,
233,203,2017,200,200,200,231,233,2,140738385,140738385,TRUE,,,
233,203,2016,200,200,200,231,233,2,140738386,140738386,TRUE,,,
233,203,2018,200,200,200,231,233,2,140738387,140738387,TRUE,,,
251,200,0,211,200,200,251,251,2,140738388,140738388,TRUE,,,
251,200,0,211,200,200,251,251,2,140738389,140738389,TRUE,,,
251,200,0,211,200,200,251,251,2,140738390,140738390,TRUE,,,
251,200,0,211,200,200,251,251,2,140738391,140738391,TRUE,,,
251,200,0,211,200,200,251,251,2,140738392,140738392,TRUE,,,
251,200,0,211,200,200,251,251,2,140738393,140738393,TRUE,,,
251,200,0,211,200,200,251,251,2,140738394,140738394,TRUE,,,
254,204,2019,200,200,200,251,251,2,140738395,140738395,TRUE,,,
251,200,0,211,200,200,251,251,2,140738396,140738396,TRUE,,,
251,200,0,211,200,200,251,251,2,140738397,140738397,TRUE,,,
251,200,0,211,200,200,251,251,2,140738398,140738398,TRUE,,,
251,200,0,211,200,200,251,251,2,140738399,140738399,TRUE,,,
251,200,0,211,200,200,251,251,2,140738400,140738400,TRUE,,,
251,200,0,211,200,200,251,251,2,140738401,140738401,TRUE,,,
251,200,0,211,200,200,251,251,2,140738402,140738402,TRUE,,,
251,200,0,211,200,200,251,251,2,140738403,140738403,TRUE,,,
251,200,0,211,200,200,251,251,2,140738404,140738404,TRUE,,,
251,200,0,211,200,200,251,251,2,140738405,140738405,TRUE,,,
254,204,2018,200,200,200,251,251,2,140738406,140738406,TRUE,,,
251,200,0,211,200,200,251,251,2,140738407,140738407,TRUE,,,
251,200,0,211,200,200,251,251,2,140738408,140738408,TRUE,,,
251,200,0,211,200,200,251,251,2,140738409,140738409,TRUE,,,
251,200,0,211,200,200,251,251,2,140738410,140738410,TRUE,,,
251,200,0,211,200,200,251,251,2,140738411,140738411,TRUE,,,
251,200,0,211,200,200,251,251,2,140738412,140738412,TRUE,,,
251,200,0,211,200,200,251,251,2,140738413,140738413,TRUE,,,
251,200,0,211,200,200,251,251,2,140738414,140738414,TRUE,,,
251,200,2017,211,200,200,251,251,2,140738415,140738415,TRUE,,,
251,200,0,211,200,200,251,251,2,140738416,140738416,TRUE,,,
251,200,0,211,200,200,251,251,2,140738417,140738417,TRUE,,,
333,303,2017,300,300,300,331,333,3,140738418,140738418,TRUE,,,
333,303,2017,300,300,300,331,333,3,140738419,140738419,TRUE,,,
333,303,2019,300,300,300,331,333,3,140738420,140738420,TRUE,,,
333,303,2015,300,300,300,331,333,3,140738421,140738421,TRUE,,,
333,303,2019,300,300,300,331,333,3,140738422,140738422,TRUE,,,
333,303,2019,300,300,300,331,333,3,140738423,140738423,TRUE,,,
333,303,2016,300,300,300,331,333,3,140738424,140738424,TRUE,,,
333,303,2019,300,300,300,331,333,3,140738425,140738425,TRUE,,,
333,303,2019,300,300,300,331,333,3,140738426,140738426,TRUE,,,
333,303,2019,300,300,300,331,333,3,140738427,140738427,TRUE,,,
333,303,2015,300,300,300,331,333,3,140738428,140738428,TRUE,,,
333,303,2015,300,300,300,331,333,3,140738429,140738429,TRUE,,,
333,303,2019,300,300,300,331,333,3,140738430,140738430,TRUE,,,
333,303,2017,300,300,300,331,333,3,140738431,140738431,TRUE,,,
333,303,2017,300,300,300,331,333,3,140738432,140738432,TRUE,,,
333,303,2019,300,300,300,331,333,3,140738433,140738433,TRUE,,,
333,303,2016,300,300,300,331,333,3,140738434,140738434,TRUE,,,
333,303,2017,300,300,300,331,333,3,140738435,140738435,TRUE,,,
333,303,2019,300,300,300,331,333,3,140738436,140738436,TRUE,,,
333,303,2015,300,300,300,331,333,3,140738437,140738437,TRUE,,,
333,303,2018,300,300,300,331,333,3,140738438,140738438,TRUE,,,
333,303,2015,300,300,300,331,333,3,140738439,140738439,TRUE,,,
333,303,2015,300,300,300,331,333,3,140738440,140738440,TRUE,,,
333,303,2016,300,300,300,331,333,3,140738441,140738441,TRUE,,,
333,303,2018,300,300,300,331,333,3,140738442,140738442,TRUE,,,
333,303,2019,300,300,300,331,333,3,140738443,140738443,TRUE,,,
333,303,2019,300,300,300,331,333,3,140738444,140738444,TRUE,,,
333,303,2015,300,300,300,331,333,3,140738445,140738445,TRUE,,,
333,303,2017,300,300,300,331,333,3,140738446,140738446,TRUE,,,
333,303,2019,300,300,300,331,333,3,140738447,140738447,TRUE,,,
