OID_,Value,Count
,0,9792588.000000000000000
,100,2809803.000000000000000
,111,515943.000000000000000
,121,9.000000000000000
,131,8409.000000000000000
,141,10.000000000000000
,142,37998.000000000000000
,144,1.000000000000000
,200,3828098.000000000000000
,211,1127909.000000000000000
,221,1177.000000000000000
,231,76132.000000000000000
,241,550.000000000000000
,242,125846.000000000000000
,243,66.000000000000000
,244,106.000000000000000
,251,232141.000000000000000
,300,3346608.000000000000000
,311,1032138.000000000000000
,321,273.000000000000000
,331,162150.000000000000000
,341,269.000000000000000
,342,106740.000000000000000
,343,16.000000000000000
,344,25.000000000000000
,400,4485054.000000000000000
,500,5834031.000000000000000